,sentiment,text
8810,1,we have tons of updates including pics of rob from yesterday check them out www robsessedpattinson com
10343,1, there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy 
12485,1,12seconds friday night update has left the city 
12663,1,going to bed in pain fell on my shoulder today good night
22420,2, she must be able to tell we re reprobates despite your endorsement she sounds pretty smart exclamation 
5804,0, my public talk in july got canceled and i don t know why 
8769,0, wtf exclamation exclamation exclamation exclamation lmao exclamation exclamation exclamation just got hit in the head with bloody balls 
3881,0, sis i dont think i will be up 4 2nite sadly im in alot of pain 2day had bad nite can we go out anotha week soon question censored 
20371,2,he brings sooo much joy exclamation exclamation show it exclamation exclamation great song exclamation question 
9758,1, its tomorrow 
6180,0,someone please tighten some bolts in my brain s there are too many parts loose some might even be missing
10222,1, so long as they hold your wine without tipping 
10981,1, if i got paid by the hour i could retire by now do you have xbox live question i am thinking rock band
12211,1, we re running out of things to tweet to you wish we could get your reply exclamation come to the philippines question tweeet exclamation 
11181,1, itã â â½s a beautiful blog but iã â â½m not able to acess it anymore exclamation exclamation 
2936,0,just eaten and feel extremely bloated now for the not so fun part 
24690,2, noooo fb has been good to me especially for the love of conversation
21665,2, i love you i love you i love you you re the most beautiful and sweet girl ever 
8119,0, awww for me i just think she s tooo young or just not ready for it tis painful to watch her so upset
12054,1, do you want to do my laundry as well question 
2204,0,in pain my big toe got stamped on during the hokey cokey it hurts so much exclamation anyone have any suggestions to help with it question 
22179,2, good to know thanks
14413,1,starting the video editing of the first spanking movie we did with mina it will be added to the next update
22869,2,wrestlefest was fun exclamation now tune into www latalkradio com from 2 3 sunday and chat with me
10874,1, i know but considering i ve bought a lot of new yarn recently i think it s necessary this time 
2735,0, not this part unfortunately 
22243,2,_dazzles well tonight would be a good time to watch 
9608,1, awe man that sucks everyone makes mistakes i have a feeling that people can forgive you
12661,1, yeah ecpm is going up and down badly hope things improve
11320,1, hey talinda how tyler slept this night question my nephew is now 4 yrs old and he stopped naps from age 3
7813,0,looks like it got cloudy again outside exclamation and i have nothing to do tonight exclamation boo friday
25389,2,happy star wars day may the fourth be with you exclamation 
3775,0,sick daddy send prayer his way
5014,0,haha aww ok now back to bionomial expansion ugh exclamation joy
10213,1,oh gosh google wave is looking pretty sexy lunch time s over though back to powerpoint significantly less sexy 
13479,1,just got back from the karaoke bar in the metreon exclamation exclamation exclamation watching millionaire matchmaker
921,0, seems like working rofl sadly money is not growing on a tree
17222,1, star trek question me question nah my dad is one for star trek right enough today i m off to see corlaine much more my style shezz 
3843,0,why are plane tickets so expensive
3128,0,omg my right hear us blocked and it s so annoying what i i wake up deaf question 
1443,0,_ryall what if i thought i was a star trek person but i wasn t all that crazy about the new movie question 
24336,2,happy mothers day all my love
2840,0, headache
4527,0,it s official nobody is getting a raise this year
25905,2,you want ittt you got ittt exclamation 
14843,1, you re not singing in the rain question 
26343,2, sure but be careful also of making statements that we don t do it parallel ideas do happen i ve seen it myself 
9103,1, censored m transtelecom
6618,0,break from packing watching the office pam i had just woken up i didn t look cute that s how i knew he meant it 
24743,2, welcome home babe exclamation 
10729,1,_addict yeah like super short i guess i ll just have to hold my breath till sunday 
24891,2,happy mothers day to all the mothers grandmothers furbaby mommies etc exclamation heading out for breakfast with my mom shortly
9358,1,did some real window shopping and i found so many things i want that just happen to be over a hundred dollars 
2346,0,just uploading photos from the cell nothin like true candid ness exclamation 
15648,1,guess who has internet at her house question raises hand and it s not dial up 
10955,1, just got it a few hours ago exclamation so not yet exclamation 
7313,0,nervous about going out tomorrow cos its the first time since my daughter was born she s 2 exclamation exclamation exclamation help
12747,1, i ve been here since 3 and i m here for 8 more hours tomorrow
13271,1,seems like i m the only person over here doing postal voting for the upcoming election been there already twice to get the documents
102,0, it s not the 10 5 so much as the a sugar and b taste lord that ll put ya down and not in the fun way
1077,0,tgif hubby dragged me out to buy car parts i am tired n cranky
15258,1, yeah daw awww wear a mask na exclamation 
8754,0,theres too much light pollution to see the stars
12361,1,oh and i forgot my cell at home thankgod for this crackberry
17088,1,is it normal for a masseusse to fully massage your buttocks question i swear she was a quarter inch from a medical exam 
7539,0,which was so unlike the pos in oakland they hated me
14108,1, _emily_young_ okey
18253,2, a lovely weekend thank you whats it like where you live question exciting im sure night night censored 
9411,1,just played volleyball question 
3911,0, just nothing perfect in life darn it exclamation 
7284,0, i always miss out exclamation i wont be able to commence in the foolishness til the fall but come fall i ll be visiting exclamation exclamation yay exclamation exclamation 
6309,0,no show tonight no plans ughhhh 
20525,2,thx for the tip how did you figure that one out question 
18334,2, tis a book called love censored and tragedy highly interesting influence of classical on modern world
14540,1, i am here to make friends real life internet what ever level people are comfortable with 
9460,1,mozart requiem tonight
15376,1, hey i made us a house on the sims exclamation oh and you have like a perfect balance and i m always lacking stuff like fun etc exclamation 
8745,0,i wish i was outside thats the only thing thats gonna kill me about work all day everyday during the summer 
5195,0, i m sorry you won t make it 
8384,0,dammit i need new cupcake tins
12167,1,no more twitter in a while tweet tweet
11092,1, not sure it didn t say it was 2 big i jst saw the pics of u on ur last bday you looked so pretty exclamation exclamation i miss you exclamation exclamation 
22116,2,just came back from hanging out with some friends cocktails 3 i m not drunk but feeling good hope everyone s well question 
20083,2,happy mother s day exclamation exclamation exclamation exclamation exclamation 
8566,0,hello dark hair exclamation well my plans for today just got cancelled make some better ones question exclamation 
15642,1,better get to sleep dodger game mothers day 2maro ewl i have to wake up at 8 exclamation 
12140,1, you re not gonna paint me question oh well 
16275,1,_ i guess we will wait see 
20811,2,ok back later have a great time regardless of the weather ps i m only a bb away exclamation 
13901,1, me exclamation i wanted to go 
14103,1,yrbook signing w evryone was fun i m gna miss evrything
13370,1, you mean the fam minus ahugs
8841,1,_tina _adriii guys i am literally going to sydney in the june july hols can we meet question i wanna try one of those lindt cafes exclamation 
20649,2,what a nice young guy at dunkin donuts let me go first
24539,2,just woke up happy mommy s day to everyone s mom and grandma exclamation 
3960,0, no not at all i miss girlfriends exclamation exclamation exclamation exclamation i have all the seasons 
5889,0,i am marina and i sware to god i ll never again end up studying french till 2 o clock at night ever again too much drama sooo sleepy
13342,1,just noticed didn t get the location right again exclamation maybe a way to preview it before sending would be handy question question 
25832,2,orange pineapple banana smoothie after a very long very hard day heaven exclamation 
5640,0,gettn ready to take a trip to jersey my dad s not doing so good he needs a new heart whoeva see s this please say a prayer for my dad
25619,2,happy mothers day 2 me
14598,1, britta says she wants to have lunch with you too
12666,1, i would if i was drivin hahaha but get me a carol c special yeah question 
9994,1, so haven t seen any videos the last few days hope everything is ok 
24862,2,good night all just set this twitter thing up i m very new at this but i expect it to come in handy 
8675,0, oh dear that s just disturbing the coffee connoisseur in me just died a little 
1466,0, unfortunately i m not drunk enough lol and have no money to get drunk i have had alot though as u can imagine haha
14923,1, or a wonderful talking alarm call from i phone or bed side alarm call exclamation i can just imagine the wake up messages lol
12401,1, xd send it exclamation 
19352,2, blogtv was fun exclamation can t wait til next time
10540,1,is laying in bed wishing i could meet kellan lutz haha im a nerd dream on
5178,0, yes and no there s some strange infection in my body that s causing me to be sicker than i need and to have a fever 
3001,0,i m a lil sad looks like nomore brooklyn 4 a while wtf 
19193,2,can t believe i just drove all the way back to school whatever happy mother s day mommy precious candis and granny
2153,0,somebody accidentely sleep for 3 hours instead of 2 and now i can t hang out work blows exclamation sorry _jones20 and 
2990,0,i hate parents
19653,2, omgggg exclamation exclamation hawaii exclamation exclamation that s amazing exclamation exclamation i wanna live there
5892,0, there are 3 other drs in the office and only mine does this it drives me nuts especially when it is an appt for my kids 
12508,1,borat was so less censored 
14153,1,just finished her tennis match lost tho 6 3 1 6 4 6
3848,0,told verizon not to send anyone before 11 he showed up at 10 gotta deal with this censored now dunno how long i ll be offline 
22098,2,_girl well something thaz quick please
26298,2,_ omg and you never would believe what we did ahaha i loved it but it felt like a movie but real exclamation exclamation 
8761,0, this week has dragged a bit for me too have an essay to write about the seaside then im seeing eddie izzard tonight x
24555,2, hiya exclamation been looking for you1
4127,0,not excited of blowing out another candle today as when i was a kid exclamation 
5099,0, sorry bout 2day bloody typical goin 4 a laydown now feel sick again ooo this not nice x
23036,2, anytime love you looked beautiful exclamation next time your in nyc hopefully we can link up exclamation enjoy your evening
21647,2, thats great i ll make sure i get a copy
15313,1, im sorrryy i went to the cinema with my broth cause im cool and yeah im sorrrry tomorrow tho ill make sure of it
11100,1, follow my girl meagan
22404,2, when you ll come in bulgaria question question question you have a great fans here exclamation 
12730,1, now i feel left out all alone in az lol
26029,2, that s exactly how i feel i hope you start feeling better soon 
12896,1,it is always sunny on days when i can t possible be outside life is out to get me
873,0, huggles i don t see all the replies right away and my boss is hovering today and i m feeling pissy about life
13996,1, it was fine i was still up playing infamous sorry to hear how things ended up again
12668,1, haha exclamation i remember that exclamation that trip was fun i miss miss miss miss miss chu
20553,2,i do amazing at beer pong with my brother
17724,2, yes exclamation exclamation i wanna come hang out with my h town gurl u know whats up exclamation exclamation haha it ll be bangin exclamation we gotta hang out chick
4650,0, it s not working here
19088,2, its my birthday too but its the 10th of may right now for me and its probably the 9th for you happy birthday anyway
8277,0,tired going to take a nap my finger hurts 143
16395,1,wanna see up in 2d but everyone wants to see it in 3d
23048,2,watching bones with naty have made her a fan exclamation mission convert naty success now onto mission convert meagan
20407,2, i know they r lol i hope she does she said she will
13965,1,well i guess i m not heading out to la this weekend doubt i ll get to go to the ps blog meet and greet
21063,2, i guess that s true exclamation 
21111,2, oh yah exclamation my dad does that but i don t have a landline 
9108,1, censored now you have to cover the whole purse with those so it looks like a pattern 
9967,1,sunniest day in ages and im in bed
9677,1,watching matilda
18559,2,just missing you hoping to talk to you soon i m so happy you re mine again though you have no idea 3
4770,0, lmao shush with my illness comes the joys of multiple mouth ulcers and i think they are coming back they just healed
11606,1, yeah i guess he does sound a bit odd cause he s saying really quickly
16851,1, internet billing with fee of 30 and only in 13 countries and a setup cost of 5000 for usa alone
11617,1, something like that
21013,2, aww i hope you feel better soon 
4303,0, no ways if you can nab a youngster go for it exclamation my best friend swears by younger men apparantly they can go for longer too exclamation 
3728,0,i wish i could see dramafest so bad 
23730,2,feeling smooth like chrome
18136,2, come to rochester with me and nikki beer and a hog roast always helps 
9557,1,hold on to what you ve got
20737,2, hello you are sooo awesome exclamation exclamation dont ever stop what your doing haha you make me fall off my chair laughing x
13013,1,there s really no android twitter app of tweetie s calibre
24147,2,this is cool 
2394,0,good 1km visible shot of td one shows total decoupling of the low and mid level centers this system is dead exclamation exclamation waiting for the next one
3234,0, you still have class question ouch
20201,2,happy mother s day exclamation a rose for you exclamation 
18591,2,_ottawa ur welcome sweet dreams exclamation 
10863,1,hanging out with and the berlin jarn guys 
18704,2,oh are we pushing the gqmf trend tonight question awesome i am woefully behind on my ontd_startrek reading 
2221,0,wants new moon ah im going crazy 
10574,1, i was being childish lol cos one of them said that pic of jake in down to earth made them vomit
18065,2, awh tom thats really cute i love you guys for that really cause you care about fans x
13639,1, but i really want a sporebat pet 
19692,2, yes and ily
26115,2,good morning everyone exclamation 
7850,0, not so good i think that s my fault though didn t use buttermilk recipe was on back of the flour 
15669,1, you too my friend
1769,0,california s budget deficit now at 24 3 billion means big problems and lots of cuts including 220 of our state parks
11771,1,20 mins from bej to semanggi traffic on friday siggghh 
8004,0,i have one less follower that makes me sad and i feel like my life is dull and uninteresting 
6732,0, note to self never ever leave the macbook pro on the stupid icurve it fell off 
2971,0, don t i know it exclamation i live in the middle of nowhere my house is spider central
7384,0,sick n tired of people who steal other people s work
25114,2, sherrieshepherd gave the link for he gives twitter tips hope this helps
19279,2, always a good idea 
14712,1, are you having a bad day question 
15068,1, haha yea exclamation just working and chillin in the eastbay unlike u i don t get a summer break boo
22547,2, thanks gail imma try this one day exclamation looks yummy exclamation geezzz after my siargao trip nlng pla heheh 
8474,0,follow friday is a bit hard to do when my work kicks in on fridays
19546,2, oh sweet exclamation i ll definitely check it out when i get the chance 
13014,1, so im listening to this random playlist and its leaning toward serani 
19284,2,i have been married 1 year to the most wonderful man
22260,2, i will n btw happy mothers day sissy
12983,1, i m sure the mrs will follow when she gets comfortable on the new computer may be a while hhrs
7139,0,i just want this semester to be over exclamation only a week and a half then it s moving time exclamation 
3054,0,why the hell is it raining exclamation exclamation i hate the rain 
2311,0,daisy just got attacked by another doggie in the park
12290,1,my dog is sick i love that little doggie he s usually so keen and happy but he doesn t even want to go for a run in the forest today 
3712,0,omg i am in so much pain ouchies
15367,1,i m glad that all got cleared up i lah you exclamation idk why linda hates me though 
24207,2, well what im working on isn t quite ready to post about publicly still beta testing but its a cool new script i coded
1568,0,just loaned out a set of aerobars to team mate for tomorrow s texas cup race at alkek bummed i won t be there 
20345,2,lovely night guys full moon thinking about going out onto my roof lol
3759,0,i m gettin ready for my trip back to ma i don t wanna leave exclamation 
19160,2,doing accounting homework just nicely got a 50p for the project 3
22711,2, i just started watching 30 rock too borrowed seasons 1 and 2 from my dad so good 
2956,0,so during that whole whole addiction talk with my brother and that lady i broke down and couldnt help but cry
23315,2,don t worry i won t i ll send it to you as soon as i land in delhi i ll let you know about the price in a little while 
5340,0, i heard from you re away i miss you too look forward to tweeting with you when you return 
1588,0,_is_one84 those suck so bad 
17261,1,the killers on jonathan ross completely epitomised why i love them with all my fangirl heart seriously wow i miss reading dublin
14281,1,okay so now i want to scream idk why this one doc has done this to me 3 days this week exclamation exclamation exclamation exclamation rrrrr 
26259,2,we got jojo in for free and free drinks for mom exclamation my kind of night
9707,1,today marking 135
25344,2, happy mother s day exclamation hope you have an awesome time with the bug
8048,0, that would panic me a little exclamation maybe you can read on an orbitron at the gym like i do when all else fails question exclamation question 
7296,0, oh yeah i m probs gonna be a loner to start with thanks to the person i was gonna go with be a censored 
15530,1,snl with justin timberlake exclamation 
10066,1,i m out 
6633,0,laura s gone for the weekend i miss her already exclamation 
20057,2,good movie 
313,0, i m on my mobile so it won t let me but i can t stop thinking about you x
15358,1, hang in there exclamation drink some hot coco
17178,1,i have tea exclamation have just found a picture of the big snail from the walk yesterday 
14242,1,archie andrews what were you thinking question exclamation veronica question 
20322,2,i love my daddy dad s are so under appreciated by their daughters these days not mine 
7837,0,wishes the rain would stop so my stupid headache would go away exclamation 
24874,2,loving mondays for so many reasons exclamation 
11544,1, dont you have a uk say now question 
25886,2, i was just about to put in and then my username wow 
22043,2, i think you d look cute in the beanie hat
9601,1, yes mondays are hard exclamation hope you have a great day too have the opportunity to get out at some point into the sun
14753,1, it doesn t work with the iphone yet i love it for the simplicity but i need to be able to sort tasks on my iphone to be useful
23052,2, i read somewhere they were restoring the name hope it happens soon
21612,2, thanks for the follow 
20778,2,home from disney best time in a long time howl at the moon tonight for gba and then bhb tuesday oh drummer boy niiight
9737,1, lol nah no swine flu for me bro lmao what s ur schedule like this week i need to catch up exclamation 
6735,0, didn t think of that why can t people just be nice question why would anyone think it s ok to say that much less make a movie 
7710,0, still a bit of a warning signal in my head saying you want yesterday s headache back question ok get yourself a coffee then quick exclamation 
6914,0, you are a slow answerer exclamation 
2075,0,got up at 8 today and also misses his friend 
13523,1,aww man i left all my laffy taffy s at work
13420,1,_ censored i m just about to start the second one theres only two up yeah question 
6455,0,i hate it when trevor drives
5853,0,misses driving already
6713,0,about to go to my last theater lunch im gonna cry 
23680,2,kyles going out of town this weekend play time wif my fwiends rawrrr 
3621,0,bored well its not like any one can see this i havent got any friends
11123,1,field day gt class not winning 
18863,2,chillaxing in hyde park
5736,0,is house bound with acute mumps bad times whole day ov supernatural me thinks x
24295,2,doing some diy i m dying mg clothes black again save some money
23838,2,won a gps at post prom
17890,2, oh ouch exclamation lovely weather but censored exclamation cover up sugar exclamation x
2836,0,evermore end of fashion rocks exclamation my poor foot though exclamation oww exclamation injured my foot not good will be sore tomorrow details to follow later
26067,2,itt s the big time saturday night playing canasta then a movie then psych homework question stay shiny and love everybody exclamation exclamation 
12927,1,band work i need my own laptop exclamation buy me one ill drive your shifts forever exclamation 
10172,1, im duong in vietnam where r u from question i m 19 i dont understand what you wrote down in twitter please tell me exclamation thanks exclamation 
2175,0, my interview if picked is ny too but you probably forgot about me after blogtalk radio 
5142,0, i can t work out if you re into diesel or rice burners 
6444,0,i m still full from the buffet at palms my stomach actually hurts ugh gluttony bites 
15568,1,i miss mcfly last night so much exclamation exclamation i was front row centre danny was making me laugh so much lol
3824,0,i m so tired i don t get how i am i sat on the lawn mower and didn t push the whole censored thing 
15651,1,mymaths time if only i cud read the mind of a nerd durin the exam
12388,1, 5 days
7839,0,late for sick kid at home hope she feels better later tonite
12647,1, i meann look at what i just found lol
11165,1,its friday exclamation only 5 more hours until i m free exclamation until tomorrow oh well
6409,0,so i got to my exam centre n they said we can t let u becuz of your sleeveless top exclamation u cud believe that exclamation question i had to go home
6285,0, waving you wanna come get diablo he barked so much til he made himself sick
2618,0,brian cat still hasn t shown up i feel sad and sick i m afraid he s been eaten by something it doesn t look good
10748,1,why nobody write with me question exclamation 
6259,0,i gotta do my assignments tomorrow omg mackillop has swine
12206,1, vote for rob
4536,0,this sars has really got me down 
15852,1,is eating bbq jalapeno torta subway from los chaparros right next door 
13007,1, oh i ve got that one the stp x step one on vhs tried connecting our video to harddrive to copy to dvd but didnt work
24334,2,_luck13 they are so cute
864,0,one downside of the nice weather it brings of the chavs 
25820,2,urghh i m gonna do my project now don t wanna waste valuable weekend time
25067,2, kittens are cute then they grow up n become cats
22832,2,i dedicated today to mothers day videos because without moms and dads we wouldn t be here tweeting 
295,0,walking to class i hate not having a bike especially mine 
17390,1, what fun are you speaking of question 
9750,1, little louisa is number 3 trying to get number one exclamation censored 
3269,0, kids will not eat salad so they getting crisps only salad for me and mr can make his bloody own
11407,1,chaz s daily happenings 22 31 watching e r instead of a dvd end of an era 11 09 the sun is out wooo 
10017,1,wants to sign up for the germany field trip pero no tengo dinero 
2704,0, somewhere within temptation returned to mysefl keep working hard till june
18974,2, good morning it s raining here 
1391,0, probably not a good idea its hard to tweet on the web i miss tweetdeck exclamation cry 
3196,0,school is so pointlesss seriously though 7 days of school left and all we do is watch movies and make powerpoints let me leaveeee
13001,1, _ianne i m at the terrance middle by the left side center i see u
22752,2, hey lovely hope you had a good day thanks for an awsome night and teaching me how to put together a tie hahaha
22707,2, good news about the tooth exclamation 
24704,2, it was a great wedding exclamation the band was awesome they played a ton of great 80 s songs as was the food exclamation 
3868,0,having one of my bad days migraine today my 1st since my neck surgery about 2 1 2 months
307,0, uh not yet maybe my dm inbox is just slow i ll let you know when it shows
10102,1, i hope he is ok too i miss him and the doc better not be a douchenozzle ill be one right back exclamation 
12198,1, you need to play something from mary poppins at them everyone knows that s how rooms get tidy
25631,2,for us tweeps don t forget to call your mom today 
21527,2,i need a good idea fast exclamation 
9562,1, i have too much work to drink now but i do love afternoons in the pub 
24292,2, hi exclamation im barb frm ia new to tweetin enjoy reading ur tweets u seem like a wonderful person i know ur a wonderful actress
21042,2,today celebrating two new people becoming australian citizens i am hoping for a good dinner 
9243,1, heh i meant differences between b3 and b4
9306,1, that david nice to know he feels so comfortable twitting or tweeting us i have a feeling he misses home 
12861,1,watching my new season eleven dvd
14007,1,five o clock can t come any faster
8771,0, sorry to disappoint not a big nascar fan but i m still an all around decent redneck other than that 
18269,2,download movie jackass 3 cool movie
2924,0, boring question what question exclamation ugh exclamation exclamation exclamation come back to of then exclamation 
2410,0,hey socialmediatv ugh no way to do video blah pouts social media tv live 
861,0, pheasant dreams kaotic ones
17670,2, yum do you do home delivery
10096,1, well im hving another one today yey
21350,2,home from gallery opening in woodstock ny frined had work on display much great cool and interesting art to be seen 
8412,0, lol exams i didn t go to mcast or other school i finished form 5 and that s it soo disappointed in myself
20081,2,sewing things is nice i feel crafty and productive and foxy 
11139,1, why aren t you showing up as a spymaster in my screen question 
316,0,missing from bkk na 
5885,0,twitter fam i m about to hop back on aim i went ghost on y all lolz sowwy
15398,1, home friday makes me too exclamation exclamation exclamation 
21577,2,lets get rich and give everyone nice sweaters and teach them how to dance 
8297,0, this is the worst
23430,2, just the mere fact that you twittered and someone read it then it matters p s love your song gravity
24183,2,thinking of ways to promote indie designers benefiting them and moi any thoughts question indies what you do have to say question 
9339,1,morning is anyone out there question question question 
13894,1,boystown i ll leave for eastwood in 3hours 
23341,2,hi thanks for the follow good luck with your friend question ha
8607,0,long to do list little desire to do it all 
21030,2,_conrad you take such good photos 
15664,1,oh yea mspacers my boy just hooked up my page it looks kewl at least i think so and it only took him 5 minutes www myspace com missmickey
24873,2, awwwwwww our kitties are the best exclamation 
24257,2,happy mother s day to all mothers out there
16151,1,theres a fricken prisnor trans outside r hotel exclamation 3 10 so far
14014,1,_newnew yea i saw the oil show u put on gotta i likes
9482,1, snuggles you back everyones telling me to get over it but ive had her 15 years x
16914,1, did you put a spoon in it question 
24181,2, and aww thank you exclamation i love you girls 333333
2507,0,i was kinda hoping this time it was going to be differnt its not it just sucks exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation 
1354,0,iigghhtt just fur geet it idc idk eh blah ugh blah idk hah um yah immboredddd ugh ill just fuckitt
12840,1,i totally do not know how ticketless travel works
23714,2, it s ok because one of my favorite movie series is star wars that makes me more of a dork than you
2264,0,if officially done with high school so sad i miss them already exclamation movie later question question question 
25887,2,today jon doe plays at the moho ia m excited itã â â½s gonna be funny but before i have to carry all the equipment and do the backline
11086,1, yes it s an article i wrote on my blog a while ago 
19132,2,_jo my mask is non existent at the mo charis didn t send me one i haven t been bothered to make one exclamation i m wearing boy clothes exclamation 
20030,2,hey please reply me i can t call you im from mexico and i don t know the code love you
11242,1, have you been going to the trop for the last 5 years question no more games for you exclamation 
11465,1,did i mention my bf bubbled the wsop employees event after 12 hrs with aa working doubles now for the next 6 weeks
18238,2, good luck going to sleep i m up working on a stupid paper no worries ur not alone so u ready to record that album or what question 
19189,2, comes to you when is your atl show jljf i swear you will have fun they re so much fun
4764,0, my stupid putet won t let me go to your chat
10610,1, me raj squad up exclamation 
8066,0, i thought it was just me that was like really hot my room is too hot to sleep in
8773,0, every time i succeed with a code i get we re sorry your credit card has been declined at this time 
20770,2,my guys call me bartã â ofã â theã â criticalã â questions i m guessing that s a good thing zeropoint it
255,0,i bit my tongue sooo bad it s swollen 
25018,2, have you met me question lol my middle name is creepy fgs
12311,1, lol i can imagine you doing that ken said to let you know he agreed with a gazillion percent of what was being said 
18182,2,o and happy mothers day
3785,0,biggest food fight mosh pit ever and i miss it from across the school
22638,2, u go mariah never listen to the haters i have been a fan for so long and am so grateful for ur music can t wait 4 the album
12021,1, hi kendra whats up question follow me
7584,0, i m stuck in a try to merge two tools css hell so no help from frameworks unless both tools had already used the same framework
6064,0, my friday made me miss high school
14863,1, no sleepover tonight
10395,1, omg ur alive exclamation exclamation exclamation lol 2day has gone sooo slow i m going insane grrr you doing anything tonight question 
5812,0,the sun is shining the sky is facking blue teletubbies question i have to censored work 
19098,2, bahaha weekends are just too short esp when it s nice out exclamation i wanna stop time like evie on outta this world exclamation morning exclamation 
24826,2, agfest question it was pretty awesome loads of people were there lol
1242,0, how was your day question boredom stuck my head
12065,1, yes you make me want to be a better person think i mentioned it before will continue to do so i m still evil tho exclamation 
2400,0,is so sorry for letting her down
23826,2,lookin forward to a lovely meal out for grandparents 75th at posh italian
2680,0, hahaha i miss bradddd and all of the guys and keith 
20518,2, that is truly impressive can t come close to that takes the argument over whether web needs subs to a new level though
14839,1,schools out but works in
9205,1,_call awww i wish i could but i have no talking minutes
15193,1,i had a dream there was some kind of bug on my eye
15955,1, haha i ll keep that in mind so far i reckon i have enough money to stop my hair greying when i retire d
965,0, sorry about that
18469,2,the sun is shining have a great day
21677,2, ah you are soo smart thanks for this schooling of thoughts
8211,0, my computer is being stupid and wont let me vote if i could i would vote for u 
2643,0,mothers day didnt do anything exciting saw a movie
23996,2,goodnight exclamation happy mothers day exclamation 
12902,1,crawling into my den for the night now 
9999,1, starbuck
14626,1, joe had the same shirt in the concer here in chilee exclamation hahaha big rob wasn t here
4926,0,also i hit my chin on something when i fell down and it hurts ugh work is gonna suck
16948,1, laws change in the 70s or 80s i could really push it bcause gran from bathgate but she was us citizen b4 dad born 
9981,1,closeness or distance question closeness but now everything seems so distant 
10875,1,i kind of miss a certain someone already and i never get to see him again 
10550,1, morning bill
26312,2,home at last happy mothers to all the mothers special thanks to my father he bought me tulips so did my princess adult swim time anime 
11519,1, i aint got no money to buy any cred to call u and am in london
11876,1,the apartment is starting to feel like mine 
4943,0,feeeel like ima die exclamation now on my way to rainforest exclamation exclamation i need a girls spa day asap exclamation 
8198,0, now that sucks p question i question i s question ã â â½n question eleg c question jay leno nu va mai avea o alt question emisiune sau ceva question 
22238,2,is about to make a nice cup of tea and pop some benadryl long day stay positive twitterbugs goodnight exclamation 
13760,1,will be back in dallas tomorrow 
14441,1, did you get your free chocolate question exclamation question i still haven t gotten my email 
9764,1,dinner with the family watching wild child in the car
10235,1,i feel 5 pounds lighter
7383,0, sorry we couldn t get the project working with the windoze laptop but a ton of folks came up afterwards and saw it running
16042,1,bought beer today
22159,2,i forgot how much i love all these songs on my itunes i love shuffle and i love watching the pranks from ap tour exclamation 
8433,0,my knee is killing me
13578,1,made my pin hole camera todaaaaay need to get some film now exclamation 
10171,1,a little twitter mention on snl
4574,0,is really really bored i guess i will go to bed
11653,1, u have a lot but the bad thing is we r gonna have finals all next week
5095,0,i have no swine flu exclamation because of the temperature screening here i feel like a criminal with my cold 
11408,1,safari 4 beta os x is in a crash loop on startup back to non cookie saving firefox 
20273,2,aww my son gave me a purple g shock for mother s day
560,0,has a headache
15776,1, not nerdy at all i made one yesterday 
16458,1, logically yes i just have to find one though always seem to see them beside motorways when you cant stop
4984,0,my head hurts because that air freshner is the most horriblel scent ever im super grossed out exclamation exclamation exclamation exclamation 
3088,0, think of the prize at the end so sorry to hear that though 
19748,2,love the idea of giving each year a theme this is the year of new beginnings exclamation 
7687,0,is cursing ab s wardrobe handles one drew blood
16328,1,right i must be off to do some sewing bye x
14277,1,hiccups
3983,0,i can t upload a picture everything s too big
12947,1,just up the longest lie in a while thank goodness neck still painful but today i am going to head out y exclamation 
3341,0, awww bb you sound lonely i want to drive up there fly and snuggle you too
2760,0, what do you mean by your portfolio is sad question no luck here i ve applied about 30 places so far 
11728,1,done studying bout the earth
21637,2,just put all the original art for my comics into an album its really nice except it shows how much i liked to cut corners to finish 
6581,0,not a very good day at the house
10494,1,i got a freakin macbook exclamation exclamation exclamation exclamation exclamation hoorayyy exclamation but i freakin deleted phootbooth 
10125,1, woo exclamation i was at whole earth tonight maybe tomorrow some let me know if you come back yay for wikipedia
23773,2,night night dollies you are al so amazing
17591,2,take that take that exclamation exclamation exclamation exclamation in your faces exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation robbie won exclamation 
11590,1,wants to eat baked tahong it s been a while really 
8204,0, neither could i exclamation and i looked on ebay and it was like 250 euro for two exclamation exclamation exclamation exclamation but i doubt my parents would fork that amount out
11467,1,is having a bbq today exclamation 
17644,2, yay thanku exclamation hugs 
7117,0,i lost my phone 
19964,2, aaaau thanks gi i really really love u thanks for being a really great friend and forgiveme if i leave you sometime question 
22650,2, good afternoon hope you have a great week
8998,1,i saw the best 1980s back combed poofy bangs this morning on a 30yo 8 in high by the time i turned around she was gone no picture
21395,2, thanks for trying i was hoping bud trillin but the fest would be honored by any of the guests with whom you hobnobbed 
3349,0, i m not having a good day can u cheer me up with a tweet question even tink will do lol 
15794,1, cool never heard of that in ny 
7229,0, i treat my hair so badly it s revenge for it turning grey prematurely
16994,1,playing the game of watching straight people hook up but can t leave because of another reason
14521,1,exams thennn some sexy time 
3895,0, i m having a hard time using hulu have u heard of anyone having problems that uses windows vista question 
18074,2, well hopefully someday soon you can get one exclamation 
